Nome;parametro;valor
smesa;ktMin;1
sobradinho;ktMin;41
ssimao2;ktMin;1
avermelha;ktMax;1
baixoig;ktMax;2
candonga;ktMax;2
capivara;ktMax;1
colider;ktMax;0
dfranc;ktMax;2
irape;ktMax;2
ita;ktMax;1
manso;ktMax;1
navanhanda;ktMax;2
pimentalt;ktMax;2
smesa;ktMax;1
sobradinho;ktMax;2
ssimao2;ktMax;1
